{'Image': '0011165', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '937', 'Largeur': 644.0, 'Taille': 603428.0, 'cx': 512.0, 'cy': 787.0}
{'Image': '0011165', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '1053', 'Largeur': 680.0, 'Taille': 716040.0, 'cx': 1439.0, 'cy': 841.0}
{'Image': '0011165', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0011165', 'Presence': 0, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '002be4f', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '881', 'Largeur': 672.0, 'Taille': 592032.0, 'cx': 507.0, 'cy': 451.0}
{'Image': '002be4f', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '519', 'Largeur': 498.0, 'Taille': 258462.0, 'cx': 1206.0, 'cy': 1139.0}
{'Image': '002be4f', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '002be4f', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '350', 'Largeur': 897.0, 'Taille': 313950.0, 'cx': 498.0, 'cy': 470.0}
{'Image': '0031ae9', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '690', 'Largeur': 1091.0, 'Taille': 752790.0, 'cx': 549.0, 'cy': 1055.0}
{'Image': '0031ae9', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '849', 'Largeur': 923.0, 'Taille': 783627.0, 'cx': 489.0, 'cy': 926.0}
{'Image': '0031ae9', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0031ae9', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '388', 'Largeur': 791.0, 'Taille': 306908.0, 'cx': 867.0, 'cy': 364.0}
{'Image': '0035239', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '0035239', 'Presence': 1, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': '722', 'Largeur': 693.0, 'Taille': 500346.0, 'cx': 554.0, 'cy': 373.0}
{'Image': '0035239', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '380', 'Largeur': 379.0, 'Taille': 144020.0, 'cx': 237.0, 'cy': 1190.0}
{'Image': '0035239', 'Presence': 0, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '003994e', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '18', 'Largeur': 1.0, 'Taille': 18.0, 'cx': 1693.0, 'cy': 575.0}
{'Image': '003994e', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '003994e', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '416', 'Largeur': 987.0, 'Taille': 410592.0, 'cx': 747.0, 'cy': 725.0}
{'Image': '003994e', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '489', 'Largeur': 443.0, 'Taille': 216627.0, 'cx': 243.0, 'cy': 256.0}
{'Image': '00498ec', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00498ec', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '00498ec', 'Presence': 1, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': '552', 'Largeur': 111.0, 'Taille': 61272.0, 'cx': 290.0, 'cy': 496.0}
{'Image': '00498ec', 'Presence': 0, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '006bf7c', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '529', 'Largeur': 1225.0, 'Taille': 648025.0, 'cx': 682.0, 'cy': 479.0}
{'Image': '006bf7c', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '006bf7c', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '006bf7c', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '185', 'Largeur': 1177.0, 'Taille': 217745.0, 'cx': 593.0, 'cy': 114.0}
{'Image': '006c5a6', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '407', 'Largeur': 606.0, 'Taille': 246642.0, 'cx': 1727.0, 'cy': 324.0}
{'Image': '006c5a6', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '006c5a6', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '006c5a6', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '698', 'Largeur': 1.0, 'Taille': 698.0, 'cx': 59.0, 'cy': 889.0}
{'Image': '008233e', 'Presence': 0, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '008233e', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '008233e', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '008233e', 'Presence': 1, 'Classes': 'Sugar', 'Classes_index': 3, 'Longueur': '912', 'Largeur': 554.0, 'Taille': 505248.0, 'cx': 1119.0, 'cy': 822.0}
{'Image': '008a5ff', 'Presence': 1, 'Classes': 'Fish', 'Classes_index': 0, 'Longueur': '213', 'Largeur': 560.0, 'Taille': 119280.0, 'cx': 1022.0, 'cy': 1182.0}
{'Image': '008a5ff', 'Presence': 0, 'Classes': 'Flower', 'Classes_index': 1, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
{'Image': '008a5ff', 'Presence': 0, 'Classes': 'Gravel', 'Classes_index': 2, 'Longueur': nan, 'Largeur': nan, 'Taille': nan, 'cx': nan, 'cy': nan}
